date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2024-07-06,12.924999999999999,6.108333333333333,163.16666666666666,7.979166666666667,3.2916666666666665,38.916666666666664,0.3970833333333333,11.75,1.4604166666666665,27.958333333333332,16.5
2024-07-07,10.720833333333333,5.829166666666667,175.5,9.2625,3.4916666666666667,37.375,0.3345833333333333,7.125,1.225,24.416666666666668,15.583333333333334
2024-07-08,7.283333333333334,4.758333333333334,196.95833333333334,10.625,3.8083333333333336,38.0,0.18541666666666667,2.2083333333333335,1.1729166666666666,23.666666666666668,15.416666666666666
2024-07-09,9.670833333333333,6.6375,205.29166666666666,10.987499999999999,4.008333333333334,43.083333333333336,0.11375,2.2916666666666665,1.8499999999999999,21.958333333333332,17.666666666666668
2024-07-10,13.829166666666666,8.083333333333334,199.25,9.424999999999999,3.9916666666666667,49.166666666666664,0.18083333333333332,8.041666666666666,2.3958333333333335,33.416666666666664,20.333333333333332
2024-07-11,12.4625,7.908333333333334,214.79166666666666,11.399999999999999,3.6958333333333333,44.625,0.1525,4.541666666666667,1.9104166666666667,30.375,18.333333333333332
2024-07-12,11.237499999999999,6.445833333333333,193.41666666666666,10.012500000000001,3.579166666666667,37.083333333333336,0.20541666666666666,7.0,1.2458333333333333,33.708333333333336,17.25
2024-07-13,7.504166666666666,4.441666666666666,173.83333333333334,8.35,2.9333333333333336,34.625,0.15666666666666668,3.25,1.3270833333333334,22.25,14.208333333333334
2024-07-14,5.1000000000000005,3.3000000000000003,184.625,9.829166666666667,3.1333333333333333,30.083333333333332,0.14291666666666666,1.25,0.8479166666666668,17.625,12.083333333333334
2024-07-15,3.358333333333333,2.2708333333333335,162.125,7.858333333333333,2.954166666666667,32.625,0.07625,0.25,1.2354166666666666,14.833333333333334,13.0
2024-07-16,3.6041666666666665,2.4250000000000003,151.95833333333334,6.670833333333333,2.5458333333333334,40.333333333333336,0.0825,0.625,1.3729166666666666,18.5,16.125
2024-07-17,4.058333333333334,2.6875,158.83333333333334,7.1000000000000005,2.6833333333333336,40.125,0.11666666666666668,0.6666666666666666,1.8624999999999998,18.5,16.041666666666668
2024-07-18,2.954166666666667,2.033333333333333,154.91666666666666,7.295833333333333,2.370833333333333,39.75,0.0825,0.0,1.2645833333333334,18.25,16.0
2024-07-19,3.4166666666666665,2.3583333333333334,163.0,8.0375,2.6916666666666664,38.75,0.09416666666666668,0.08333333333333333,0.6583333333333333,17.958333333333332,15.541666666666666
2024-07-20,6.091666666666666,3.7125,172.75,8.241666666666667,2.6,40.416666666666664,0.19416666666666668,2.25,0.9208333333333334,18.916666666666668,16.083333333333332
2024-07-21,7.954166666666667,4.3875,155.20833333333334,6.629166666666666,2.475,41.541666666666664,0.2325,5.0,1.66875,18.958333333333332,16.625
2024-07-22,11.370833333333332,5.633333333333333,153.5,6.154166666666668,2.2708333333333335,46.375,0.21166666666666667,9.166666666666666,1.8520833333333335,22.916666666666668,18.541666666666668
2024-07-23,7.041666666666667,4.241666666666666,161.66666666666666,6.754166666666666,2.5416666666666665,39.166666666666664,0.15041666666666667,2.625,1.9916666666666665,22.208333333333332,15.75
2024-07-24,6.391666666666667,3.7624999999999997,164.0,7.170833333333333,2.6875,37.083333333333336,0.16666666666666666,3.1666666666666665,1.85625,18.375,14.916666666666666
2024-07-25,4.108333333333333,2.5541666666666667,149.83333333333334,6.129166666666666,2.4,35.416666666666664,0.13416666666666668,0.9583333333333334,2.225,16.958333333333332,14.125
2024-07-26,4.820833333333334,2.7708333333333335,139.41666666666666,5.866666666666667,2.2083333333333335,36.416666666666664,0.1825,3.125,1.8229166666666667,16.666666666666668,14.625
2024-07-27,17.879166666666666,6.795833333333333,142.79166666666666,5.770833333333333,2.2291666666666665,39.833333333333336,0.24916666666666665,17.125,1.8875,18.625,16.5
2024-07-28,16.158333333333335,7.566666666666666,145.91666666666666,6.1375,2.5375,36.958333333333336,0.47458333333333336,15.875,1.0291666666666666,36.791666666666664,21.708333333333332
